"symbol";"closingtime";"open";"close";"high";"low";"bodysize";"wicksize";"bodypercentage";"closepercentage";"candlesize"
"SBIN";"2020-07-10 00:00:00";198.0;195.6;202.5;194.8;2.4;0.8;0.31;0.9;7.7
"SBIN";"2020-07-13 00:00:00";192.7;198.8;199.8;191.6;6.1;1.1;0.74;0.12;8.2
"SBIN";"2020-07-14 00:00:00";192.3;186.05;192.3;184.6;6.25;1.45;0.81;0.81;7.7
"SBIN";"2020-07-15 00:00:00";187.95;183.8;189.95;183.0;4.15;0.8;0.6;0.88;6.95
"SBIN";"2020-07-16 00:00:00";185.0;186.25;186.95;181.65;1.25;3.35;0.24;0.13;5.3
"SBIN";"2020-07-17 00:00:00";186.8;188.2;189.5;185.0;1.4;1.8;0.31;0.29;4.5
"SBIN";"2020-07-20 00:00:00";190.0;190.75;193.25;188.75;0.75;1.25;0.17;0.56;4.5
"SBIN";"2020-07-21 00:00:00";192.45;194.4;196.2;191.5;1.95;0.95;0.41;0.38;4.7
"SBIN";"2020-07-22 00:00:00";195.7;192.0;196.75;190.1;3.7;1.9;0.56;0.71;6.65
"SBIN";"2020-07-24 00:00:00";195.7;191.95;196.3;190.65;3.75;1.3;0.66;0.77;5.65
"SBIN";"2020-07-27 00:00:00";193.0;187.15;193.2;186.5;5.85;0.65;0.87;0.9;6.7
"SBIN";"2020-07-28 00:00:00";188.0;189.45;190.5;185.75;1.45;2.25;0.31;0.22;4.75
"SBIN";"2020-07-29 00:00:00";187.6;191.2;195.25;187.0;3.6;0.6;0.44;0.49;8.25
"SBIN";"2020-07-30 00:00:00";192.5;186.55;193.5;186.05;5.95;0.5;0.8;0.93;7.45
"SBIN";"2020-07-31 00:00:00";188.0;191.45;194.85;186.7;3.45;1.3;0.42;0.42;8.15
"SBIN";"2020-08-03 00:00:00";192.0;192.25;194.6;190.05;0.25;1.95;0.05;0.52;4.55
"SBIN";"2020-08-04 00:00:00";193.35;191.6;193.8;190.5;1.75;1.1;0.53;0.67;3.3
"SBIN";"2020-08-05 00:00:00";192.75;191.45;196.85;191.0;1.3;0.45;0.22;0.92;5.85
"SBIN";"2020-08-06 00:00:00";192.3;190.95;194.5;190.25;1.35;0.7;0.32;0.84;4.25
"SBIN";"2020-08-07 00:00:00";191.45;190.65;192.1;189.55;0.8;1.1;0.31;0.57;2.55
"SBIN";"2020-08-10 00:00:00";191.85;193.8;195.5;191.7;1.95;0.15;0.51;0.45;3.8
"SBIN";"2020-08-11 00:00:00";195.0;195.05;196.8;193.75;0.05;1.25;0.02;0.57;3.05
"SBIN";"2020-08-12 00:00:00";196.0;196.0;203.3;204.25;0.0;-8.25;0.0;-7.68;-0.95
"SBIN";"2020-08-13 00:00:00";205.5;201.9;207.3;200.75;3.6;1.15;0.55;0.82;6.55
"SBIN";"2020-08-14 00:00:00";203.0;196.5;204.0;194.6;6.5;1.9;0.69;0.8;9.4
"SBIN";"2020-08-17 00:00:00";198.45;193.1;198.65;191.5;5.35;1.6;0.75;0.78;7.15
"SBIN";"2020-08-18 00:00:00";193.8;195.1;195.75;191.7;1.3;2.1;0.32;0.16;4.05
"SBIN";"2020-08-19 00:00:00";196.4;197.05;200.3;195.9;0.65;0.5;0.15;0.74;4.4
"SBIN";"2020-08-20 00:00:00";194.0;194.75;196.35;193.25;0.75;0.75;0.24;0.52;3.1
"SBIN";"2020-08-21 00:00:00";199.0;198.4;201.5;197.65;0.6;0.75;0.16;0.81;3.85
"SBIN";"2020-08-24 00:00:00";200.0;201.45;202.8;198.6;1.45;1.4;0.35;0.32;4.2
"SBIN";"2020-08-25 00:00:00";204.0;207.95;208.45;202.7;3.95;1.3;0.69;0.09;5.75
"SBIN";"2020-08-26 00:00:00";208.5;209.85;210.35;206.15;1.35;2.35;0.32;0.12;4.2
"SBIN";"2020-08-27 00:00:00";210.5;215.65;216.5;210.5;5.15;0.0;0.86;0.14;6.0
"SBIN";"2020-08-28 00:00:00";217.0;224.85;225.9;216.8;7.85;0.2;0.86;0.12;9.1
"SBIN";"2020-08-31 00:00:00";231.55;212.0;231.55;210.35;19.55;1.65;0.92;0.92;21.2
"SBIN";"2020-09-01 00:00:00";213.1;218.1;218.9;211.2;5.0;1.9;0.65;0.1;7.7
"SBIN";"2020-09-02 00:00:00";218.25;216.25;219.0;212.3;2.0;3.95;0.3;0.41;6.7
"SBIN";"2020-09-03 00:00:00";217.5;213.15;218.25;212.3;4.35;0.85;0.73;0.86;5.95
"SBIN";"2020-09-04 00:00:00";210.0;206.6;212.3;205.9;3.4;0.7;0.53;0.89;6.4
"SBIN";"2020-09-07 00:00:00";207.5;207.9;209.65;205.4;0.4;2.1;0.09;0.41;4.25
"SBIN";"2020-09-08 00:00:00";207.9;204.05;208.5;202.9;3.85;1.15;0.69;0.79;5.6
"SBIN";"2020-09-09 00:00:00";201.1;194.85;201.4;192.5;6.25;2.35;0.7;0.74;8.9
"SBIN";"2020-09-10 00:00:00";197.7;198.15;201.45;195.2;0.45;2.5;0.07;0.53;6.25
"SBIN";"2020-09-11 00:00:00";198.55;202.7;203.85;197.0;4.15;1.55;0.61;0.17;6.85
"SBIN";"2020-09-14 00:00:00";205.9;198.5;206.2;197.35;7.4;1.15;0.84;0.87;8.85
"SBIN";"2020-09-15 00:00:00";199.9;200.15;201.0;197.1;0.25;2.8;0.06;0.22;3.9
"SBIN";"2020-09-16 00:00:00";199.85;198.2;200.05;196.25;1.65;1.95;0.43;0.49;3.8
"SBIN";"2020-09-17 00:00:00";197.0;195.45;198.0;195.0;1.55;0.45;0.52;0.85;3.0
"SBIN";"2020-09-18 00:00:00";196.0;192.6;197.2;189.7;3.4;2.9;0.45;0.61;7.5
"SBIN";"2020-09-21 00:00:00";193.05;185.8;193.5;184.25;7.25;1.55;0.78;0.83;9.25
"SBIN";"2020-09-22 00:00:00";186.15;186.2;188.3;181.15;0.05;5.0;0.01;0.29;7.15
"SBIN";"2020-09-23 00:00:00";188.15;183.8;188.95;181.0;4.35;2.8;0.55;0.65;7.95
"SBIN";"2020-09-24 00:00:00";181.1;176.35;181.8;175.5;4.75;0.85;0.75;0.87;6.3
"SBIN";"2020-09-25 00:00:00";179.0;182.2;182.75;176.15;3.2;2.85;0.48;0.08;6.6
"SBIN";"2020-09-28 00:00:00";184.0;187.25;188.15;183.35;3.25;0.65;0.68;0.19;4.8
"SBIN";"2020-09-29 00:00:00";188.5;185.05;188.95;183.25;3.45;1.8;0.61;0.68;5.7
"SBIN";"2020-09-30 00:00:00";185.05;185.4;186.8;182.4;0.35;2.65;0.08;0.32;4.4
"SBIN";"2020-10-01 00:00:00";187.0;190.3;191.2;186.9;3.3;0.1;0.77;0.21;4.3
"SBIN";"2020-10-05 00:00:00";192.0;188.75;193.8;187.05;3.25;1.7;0.48;0.75;6.75
"SBIN";"2020-10-06 00:00:00";191.1;191.6;192.1;188.3;0.5;2.8;0.13;0.13;3.8
"SBIN";"2020-10-07 00:00:00";192.55;190.7;193.15;189.1;1.85;1.6;0.46;0.6;4.05
"SBIN";"2020-10-08 00:00:00";191.35;191.5;195.8;190.55;0.15;0.8;0.03;0.82;5.25
"SBIN";"2020-10-09 00:00:00";192.0;198.3;198.8;190.55;6.3;1.45;0.76;0.06;8.25
"SBIN";"2020-10-12 00:00:00";199.7;198.7;205.95;197.25;1.0;1.45;0.11;0.83;8.7
"SBIN";"2020-10-13 00:00:00";198.65;195.7;200.0;195.1;2.95;0.6;0.6;0.88;4.9
"SBIN";"2020-10-14 00:00:00";194.05;200.05;200.9;193.05;6.0;1.0;0.76;0.11;7.85
"SBIN";"2020-10-15 00:00:00";201.0;192.85;202.5;192.0;8.15;0.85;0.78;0.92;10.5
"SBIN";"2020-10-16 00:00:00";194.0;195.95;196.75;191.6;1.95;2.4;0.38;0.16;5.15
"SBIN";"2020-10-19 00:00:00";196.2;204.0;204.6;196.05;7.8;0.15;0.91;0.07;8.55
"SBIN";"2020-10-20 00:00:00";201.0;203.05;204.35;200.7;2.05;0.3;0.56;0.36;3.65
"SBIN";"2020-10-21 00:00:00";204.7;203.75;207.3;198.85;0.95;4.9;0.11;0.42;8.45
"SBIN";"2020-10-22 00:00:00";201.9;203.3;204.6;201.1;1.4;0.8;0.4;0.37;3.5
"SBIN";"2020-10-23 00:00:00";204.0;202.8;205.6;201.55;1.2;1.25;0.3;0.69;4.05
"SBIN";"2020-10-26 00:00:00";202.7;196.7;204.0;195.6;6.0;1.1;0.71;0.87;8.4
"SBIN";"2020-10-27 00:00:00";197.25;194.65;197.55;192.25;2.6;2.4;0.49;0.55;5.3
"SBIN";"2020-10-28 00:00:00";195.0;190.45;195.0;189.05;4.55;1.4;0.76;0.76;5.95
"SBIN";"2020-10-29 00:00:00";189.35;188.7;190.7;185.9;0.65;2.8;0.14;0.42;4.8
"SBIN";"2020-10-30 00:00:00";189.35;189.25;192.0;186.15;0.1;3.1;0.02;0.47;5.85
"SBIN";"2020-11-02 00:00:00";192.2;196.05;197.25;190.05;3.85;2.15;0.53;0.17;7.2
"SBIN";"2020-11-03 00:00:00";198.0;204.75;205.8;197.6;6.75;0.4;0.82;0.13;8.2
"SBIN";"2020-11-04 00:00:00";203.5;207.0;209.0;198.05;3.5;5.45;0.32;0.18;10.95
"SBIN";"2020-11-05 00:00:00";216.0;218.65;221.0;214.75;2.65;1.25;0.42;0.38;6.25
"SBIN";"2020-11-06 00:00:00";219.0;219.2;221.85;217.05;0.2;1.95;0.04;0.55;4.8
"SBIN";"2020-11-09 00:00:00";222.5;219.5;222.65;217.05;3.0;2.45;0.54;0.56;5.6
"SBIN";"2020-11-10 00:00:00";223.1;231.7;235.0;223.0;8.6;0.1;0.72;0.28;12.0
"SBIN";"2020-11-11 00:00:00";232.75;234.2;239.35;227.75;1.45;5.0;0.12;0.44;11.6
"SBIN";"2020-11-12 00:00:00";233.2;226.8;233.35;225.65;6.4;1.15;0.83;0.85;7.7
"SBIN";"2020-11-13 00:00:00";225.0;229.45;230.65;220.1;4.45;4.9;0.42;0.11;10.55
"SBIN";"2020-11-14 00:00:00";232.0;229.65;232.9;227.75;2.35;1.9;0.46;0.63;5.15
"SBIN";"2020-11-17 00:00:00";231.85;240.2;241.6;231.0;8.35;0.85;0.79;0.13;10.6
"SBIN";"2020-11-18 00:00:00";239.4;252.0;253.0;237.9;12.6;1.5;0.83;0.07;15.1
"SBIN";"2020-11-19 00:00:00";248.0;239.75;251.8;239.0;8.25;0.75;0.64;0.94;12.8
"SBIN";"2020-11-20 00:00:00";241.5;242.75;245.4;233.95;1.25;7.55;0.11;0.23;11.45
"SBIN";"2020-11-23 00:00:00";243.5;238.7;246.15;238.1;4.8;0.6;0.6;0.93;8.05
"SBIN";"2020-11-24 00:00:00";240.5;243.85;245.0;239.5;3.35;1.0;0.61;0.21;5.5
"SBIN";"2020-11-25 00:00:00";245.45;243.0;249.9;241.6;2.45;1.4;0.3;0.83;8.3
"SBIN";"2020-11-26 00:00:00";244.0;245.45;246.25;240.15;1.45;3.85;0.24;0.13;6.1
"SBIN";"2020-11-27 00:00:00";245.45;244.25;246.25;242.05;1.2;2.2;0.29;0.48;4.2
"SBIN";"2020-12-01 00:00:00";245.0;248.05;248.95;244.25;3.05;0.75;0.65;0.19;4.7
"SBIN";"2020-12-02 00:00:00";248.35;246.95;250.85;244.1;1.4;2.85;0.21;0.58;6.75
"SBIN";"2020-12-03 00:00:00";249.3;256.3;259.0;248.0;7.0;1.3;0.64;0.25;11.0
"SBIN";"2020-12-04 00:00:00";257.0;263.5;264.35;253.55;6.5;3.45;0.6;0.08;10.8
"SBIN";"2020-12-07 00:00:00";263.8;269.6;271.45;263.0;5.8;0.8;0.69;0.22;8.45
"SBIN";"2020-12-08 00:00:00";270.95;271.9;273.7;265.25;0.95;5.7;0.11;0.21;8.45
"SBIN";"2020-12-09 00:00:00";272.1;270.35;274.9;269.2;1.75;1.15;0.31;0.8;5.7
"SBIN";"2020-12-10 00:00:00";269.0;269.55;271.0;265.55;0.55;3.45;0.1;0.27;5.45
"SBIN";"2020-12-11 00:00:00";270.05;272.45;276.25;270.05;2.4;0.0;0.39;0.61;6.2
"SBIN";"2020-12-14 00:00:00";274.0;274.2;276.15;272.35;0.2;1.65;0.05;0.51;3.8
"SBIN";"2020-12-15 00:00:00";274.05;270.65;274.05;268.15;3.4;2.5;0.58;0.58;5.9
"SBIN";"2020-12-16 00:00:00";272.8;269.4;273.65;268.5;3.4;0.9;0.66;0.83;5.15
"SBIN";"2020-12-17 00:00:00";270.0;267.7;272.15;266.7;2.3;1.0;0.42;0.82;5.45
"SBIN";"2020-12-18 00:00:00";267.7;271.45;271.95;265.0;3.75;2.7;0.54;0.07;6.95
"SBIN";"2020-12-21 00:00:00";268.45;254.7;269.0;251.05;13.75;3.65;0.77;0.8;17.95
"SBIN";"2020-12-22 00:00:00";254.8;257.45;258.7;248.25;2.65;6.55;0.25;0.12;10.45
"SBIN";"2020-12-23 00:00:00";256.95;263.0;263.9;255.6;6.05;1.35;0.73;0.11;8.3
"SBIN";"2020-12-24 00:00:00";265.0;266.85;268.85;264.65;1.85;0.35;0.44;0.48;4.2
"SBIN";"2020-12-28 00:00:00";268.75;275.2;276.0;268.0;6.45;0.75;0.81;0.1;8.0
"SBIN";"2020-12-29 00:00:00";276.3;277.9;279.9;274.7;1.6;1.6;0.31;0.38;5.2
"SBIN";"2020-12-30 00:00:00";296.0;306.8;308.0;294.5;10.8;1.5;0.8;0.09;13.5
"SBIN";"2020-12-31 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-01 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-04 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-05 00:00:00";278.05;281.75;282.45;277.0;3.7;1.05;0.68;0.13;5.45
"SBIN";"2021-01-06 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-07 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-08 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-11 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-12 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
"SBIN";"2021-01-13 00:00:00";283.0;285.05;289.15;281.4;2.05;1.6;0.26;0.53;7.75
"SBIN";"2021-01-14 00:00:00";306.7;307.25;309.25;303.8;0.55;2.9;0.1;0.37;5.45
